"elapsed.time","valve","treatment","group","date.time.ori","NH3.flux","cum.treat","end.time","time.diff"
0,7,"5.7","High acid","18-09-24 11:56:36",-0.162481190350941,0,"18-09-24 14:28:32",2.5321105555031
3,7,"5.7","High acid","18-09-24 14:28:32",0.00823398254548901,-13.8822487024907,"18-09-24 17:00:26",2.53186777783765
5,7,"5.7","High acid","18-09-24 17:00:26",0.00218523034306314,-13.2570959291775,"18-09-24 19:32:22",2.53202027777831
8,7,"5.7","High acid","18-09-24 19:32:22",-0.038417702523603,-16.5180184254261,"18-09-24 22:04:16",2.53170611109999
10,7,"5.7","High acid","18-09-24 22:04:16",-0.0951271180856768,-24.5307076619829,"19-09-24 00:36:12",2.53226111114025
13,7,"5.7","High acid","19-09-24 00:36:12",-0.043928903378705,-37.0457495937773,"19-09-24 03:08:07",2.53212916665607
15,7,"5.7","High acid","19-09-24 03:08:07",-0.0338183346946154,-41.7105838781765,"19-09-24 05:40:03",2.53196861108144
18,7,"5.7","High acid","19-09-24 05:40:03",-0.0343945404129541,-47.8497426378578,"19-09-24 08:11:57",2.53189027779632
20,7,"5.7","High acid","19-09-24 08:11:57",-0.0569956280382634,-53.3331527449308,"19-09-24 10:43:54",2.53231166667408
23,7,"5.7","High acid","19-09-24 10:43:54",0.00704746507782769,-57.82848741137,"19-09-24 13:15:51",2.53244638886717
25,7,"5.7","High acid","19-09-24 13:15:51",-0.0561674770834132,-60.7756881317052,"19-09-24 15:47:48",2.53269277777937
28,7,"5.7","High acid","19-09-24 15:47:48",0.023733303232418,-63.6947637782947,"19-09-24 18:19:43",2.53200888892015
30,7,"5.7","High acid","19-09-24 18:19:43",-0.0295403995237341,-64.0431895557737,"19-09-24 20:51:39",2.53201972219679
33,7,"5.7","High acid","19-09-24 20:51:39",-0.0407357363000039,-70.3680417799101,"19-09-24 23:23:34",2.53198388887776
35,7,"5.7","High acid","19-09-24 23:23:34",-0.0390962710648555,-75.1579622218017,"20-09-24 01:55:28",2.53175861113601
38,7,"5.7","High acid","20-09-24 01:55:28",-0.0448755431564416,-82.7154255017184,"20-09-24 04:27:24",2.53216638882955
