"elapsed.time","NH3.bg","valve","NH3.DFC","date.time","days","treatment","group","NH3_corr","date.time.weather","date","time","temp","air.temp.K","air.flow","dfc.area","n","NH3.flux","cum.treat"
0,151.518024471333,1,2048.1922553,2024-09-18 06:00:00,0,"Mp","Machine plot",1896.67423082867,2024-09-18 11:00:00,2024-09-18,6,8.2,281.35,2280,0.38465,8.21539406976643e-08,6.8207689345315,0
0,151.518024471333,8,639.73204986,2024-09-18 07:00:00,0,"Mp","Machine plot",488.214025388667,2024-09-18 12:00:00,2024-09-18,7,9.2,282.35,2280,0.38465,2.10719649652044e-08,1.74948399070879,0
0,151.518024471333,12,241.75574012,2024-09-18 08:00:00,0,"Mp","Machine plot",90.2377156486667,2024-09-18 13:00:00,2024-09-18,8,10.7,283.85,2280,0.38465,3.87419762097002e-09,0.321652334080907,0
0,151.518024471333,18,253.67909113,2024-09-18 08:00:00,0,"Mp","Machine plot",102.161066658667,2024-09-18 13:00:00,2024-09-18,8,10.7,283.85,2280,0.38465,4.38610572707482e-09,0.364153118313571,0
3,115.906389603333,1,423.29765148,2024-09-18 09:00:00,0.125,"Mp","Machine plot",307.391261876667,2024-09-18 14:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,1.31003830024277e-08,1.08764941346221,711.757651319434
3,115.906389603333,8,337.75692719,2024-09-18 10:00:00,0.125,"Mp","Machine plot",221.850537586667,2024-09-18 15:00:00,2024-09-18,10,15.4,288.55,2280,0.38465,9.36962010841695e-09,0.777905639353816,227.465066705634
3,115.906389603333,12,192.0743106,2024-09-18 10:00:00,0.125,"Mp","Machine plot",76.1679209966667,2024-09-18 15:00:00,2024-09-18,10,15.4,288.55,2280,0.38465,3.21687065512693e-09,0.267078258748939,52.9857533546861
3,115.906389603333,18,209.08151955,2024-09-18 11:00:00,0.125,"Mp","Machine plot",93.1751299466667,2024-09-18 16:00:00,2024-09-18,11,17.7,290.85,2280,0.38465,3.9040333140709e-09,0.324129419987128,61.945428447063
5,67.7758860843333,1,239.741852,2024-09-18 11:00:00,0.208333333333333,"Mp","Machine plot",171.965965915667,2024-09-18 16:00:00,2024-09-18,11,17.7,290.85,2280,0.38465,7.20536542536007e-09,0.598220027400835,812.909817771217
5,67.7758860843333,8,169.82640898,2024-09-18 12:00:00,0.208333333333333,"Mp","Machine plot",102.050522895667,2024-09-18 17:00:00,2024-09-18,12,18.8,291.95,2280,0.38465,4.25980119180598e-09,0.353666779580015,295.359411841664
5,67.7758860843333,12,109.21060093,2024-09-18 13:00:00,0.208333333333333,"Mp","Machine plot",41.4347148456667,2024-09-18 18:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,1.72425582559036e-09,0.143155038827079,77.5997512092472
5,67.7758860843333,18,102.00203861,2024-09-18 13:00:00,0.208333333333333,"Mp","Machine plot",34.2261525256667,2024-09-18 18:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,1.42428017423889e-09,0.118249786729877,88.4881808500832
8,46.730156557,1,112.20473464,2024-09-18 14:00:00,0.333333333333333,"Mp","Machine plot",65.474578083,2024-09-18 19:00:00,2024-09-18,14,20,293.15,2280,0.38465,2.72185750965812e-09,0.225980165874443,887.087835165992
8,46.730156557,8,71.847473734,2024-09-18 15:00:00,0.333333333333333,"Mp","Machine plot",25.117317177,2024-09-18 20:00:00,2024-09-18,15,19.9,293.05,2280,0.38465,1.04451360245897e-09,0.086719953672901,334.994217834426
8,46.730156557,12,67.569692314,2024-09-18 15:00:00,0.333333333333333,"Mp","Machine plot",20.839535757,2024-09-18 20:00:00,2024-09-18,15,19.9,293.05,2280,0.38465,8.6662036449692e-10,0.071950501826153,96.9592498680381
8,46.730156557,18,74.68148489,2024-09-18 16:00:00,0.333333333333333,"Mp","Machine plot",27.951328333,2024-09-18 21:00:00,2024-09-18,16,19.6,292.75,2280,0.38465,1.16355823432663e-09,0.0966035444047667,107.824980652201
10,56.1161316126667,1,75.011632895,2024-09-18 16:00:00,0.416666666666667,"Mp","Machine plot",18.8955012823333,2024-09-18 21:00:00,2024-09-18,16,19.6,292.75,2280,0.38465,7.86582156198677e-10,0.0653053899775896,904.564968517114
10,56.1161316126667,8,58.725533894,2024-09-18 17:00:00,0.416666666666667,"Mp","Machine plot",2.60940228133334,2024-09-18 22:00:00,2024-09-18,17,18.6,291.75,2280,0.38465,1.08996549319876e-10,0.00904935626043901,340.740376430427
10,56.1161316126667,12,55.845582802,2024-09-18 18:00:00,0.416666666666667,"Mp","Machine plot",-0.270548810666661,2024-09-18 23:00:00,2024-09-18,18,17,290.15,2280,0.38465,-1.13633302896627e-11,-0.000943431922733757,101.219674062243
10,56.1161316126667,18,63.920490261,2024-09-18 19:00:00,0.416666666666667,"Mp","Machine plot",7.80435864833333,2024-09-19,2024-09-18,19,15.3,288.45,2280,0.38465,3.29723006961035e-10,0.027375003849865,115.263693547479
13,37.742122736,1,61.583228622,2024-09-18 19:00:00,0.541666666666667,"Mp","Machine plot",23.841105886,2024-09-19,2024-09-18,19,15.3,288.45,2280,0.38465,1.00725267459192e-09,0.0836263932531685,917.968829007882
13,37.742122736,8,55.403609634,2024-09-18 20:00:00,0.541666666666667,"Mp","Machine plot",17.661486898,2024-09-19 01:00:00,2024-09-18,20,14.2,287.35,2280,0.38465,7.490290094254e-10,0.0621875683036702,347.151699641197
13,37.742122736,12,57.324760202,2024-09-18 20:00:00,0.541666666666667,"Mp","Machine plot",19.582637466,2024-09-19 01:00:00,2024-09-18,20,14.2,287.35,2280,0.38465,8.30505586976129e-10,0.0689520996740535,107.340454159862
13,37.742122736,18,64.153295932,2024-09-18 21:00:00,0.541666666666667,"Mp","Machine plot",26.411173196,2024-09-19 02:00:00,2024-09-18,21,13.5,286.65,2280,0.38465,1.12284115704525e-09,0.0932230397878579,126.117517474874
15,34.7120482876667,1,59.685377292,2024-09-18 21:00:00,0.625,"Mp","Machine plot",24.9733290043333,2024-09-19 02:00:00,2024-09-18,21,13.5,286.65,2280,0.38465,1.06171283745715e-09,0.0881479071803907,928.275287033896
15,34.7120482876667,8,53.951099127,2024-09-18 22:00:00,0.625,"Mp","Machine plot",19.2390508393333,2024-09-19 03:00:00,2024-09-18,22,12.9,286.05,2280,0.38465,8.19642116573209e-10,0.0680501682412313,354.965963833891
15,34.7120482876667,12,55.317611026,2024-09-18 23:00:00,0.625,"Mp","Machine plot",20.6055627383333,2024-09-19 04:00:00,2024-09-18,23,11.9,285.05,2280,0.38465,8.80939351338366e-10,0.0731393249038131,115.865939634534
15,34.7120482876667,18,59.712381494,2024-09-19,0.625,"Mp","Machine plot",25.0003332063333,2024-09-19 05:00:00,2024-09-19,0,12.2,285.35,2280,0.38465,1.06770308140847e-09,0.0886452426643178,137.029614422005
18,35.077111938,1,53.200387509,2024-09-19,0.75,"Mp","Machine plot",18.123275571,2024-09-19 05:00:00,2024-09-19,0,12.2,285.35,2280,0.38465,7.74000770816506e-10,0.0642608299499229,941.992073375624
18,35.077111938,8,47.146170747,2024-09-19 01:00:00,0.75,"Mp","Machine plot",12.069058809,2024-09-19 06:00:00,2024-09-19,1,10.8,283.95,2280,0.38465,5.17981330024884e-10,0.0430050090658827,364.960929791531
18,35.077111938,12,55.781652111,2024-09-19 01:00:00,0.75,"Mp","Machine plot",20.704540173,2024-09-19 06:00:00,2024-09-19,1,10.8,283.95,2280,0.38465,8.88599966748591e-10,0.0737753417176838,129.088259630469
18,35.077111938,18,64.675428684,2024-09-19 02:00:00,0.75,"Mp","Machine plot",29.598316746,2024-09-19 07:00:00,2024-09-19,2,10.2,283.35,2280,0.38465,1.27299404619994e-09,0.105689370107245,154.519729571445
20,63.673471939,1,59.555485732,2024-09-19 02:00:00,0.833333333333333,"Mp","Machine plot",-4.117986207,2024-09-19 07:00:00,2024-09-19,2,10.2,283.35,2280,0.38465,-1.77110474518891e-10,-0.0147044635025393,944.965455362467
20,63.673471939,8,105.09613786,2024-09-19 03:00:00,0.833333333333333,"Mp","Machine plot",41.422665921,2024-09-19 08:00:00,2024-09-19,3,9.5,282.65,2280,0.38465,1.78595960761445e-09,0.148277948769061,376.437907261628
20,63.673471939,12,146.64829899,2024-09-19 04:00:00,0.833333333333333,"Mp","Machine plot",82.974827051,2024-09-19 09:00:00,2024-09-19,4,9.7,282.85,2280,0.38465,3.57497285688187e-09,0.296809423832136,151.323345563458
20,63.673471939,18,156.1843132,2024-09-19 05:00:00,0.833333333333333,"Mp","Machine plot",92.510841261,2024-09-19 10:00:00,2024-09-19,5,10,283.15,2280,0.38465,3.9816092832021e-09,0.330570106286809,180.695298155089
23,100.360761508333,1,150.89321339,2024-09-19 05:00:00,0.958333333333333,"Mp","Machine plot",50.5324518816667,2024-09-19 10:00:00,2024-09-19,5,10,283.15,2280,0.38465,2.17488541637366e-09,0.180568220564845,959.893193498075
23,100.360761508333,8,181.63419567,2024-09-19 06:00:00,0.958333333333333,"Mp","Machine plot",81.2734341616667,2024-09-19 11:00:00,2024-09-19,6,10.2,283.35,2280,0.38465,3.49548924318498e-09,0.290210356781863,415.901854761211
23,100.360761508333,12,187.59245168,2024-09-19 06:00:00,0.958333333333333,"Mp","Machine plot",87.2316901716667,2024-09-19 11:00:00,2024-09-19,6,10.2,283.35,2280,0.38465,3.75174788422713e-09,0.311486037086207,206.069937046109
23,100.360761508333,18,224.40898325,2024-09-19 07:00:00,0.958333333333333,"Mp","Machine plot",124.048221741667,2024-09-19 12:00:00,2024-09-19,7,11.1,284.25,2280,0.38465,5.31829771924466e-09,0.441547655048093,250.18589667523
25,115.501356475667,1,183.75746992,2024-09-19 07:00:00,1.04166666666667,"Mp","Machine plot",68.2561134443333,2024-09-19 12:00:00,2024-09-19,7,11.1,284.25,2280,0.38465,2.92633241620724e-09,0.242956540697582,985.30467917382
25,115.501356475667,8,215.3755314,2024-09-19 08:00:00,1.04166666666667,"Mp","Machine plot",99.8741749243333,2024-09-19 13:00:00,2024-09-19,8,12.9,286.05,2280,0.38465,4.25494380204154e-09,0.353263498460122,454.51028607573
25,115.501356475667,12,232.68373602,2024-09-19 09:00:00,1.04166666666667,"Mp","Machine plot",117.182379544333,2024-09-19 14:00:00,2024-09-19,9,14.6,287.75,2280,0.38465,4.96283179993301e-09,0.412035365325458,249.481221190809
25,115.501356475667,18,231.42527779,2024-09-19 10:00:00,1.04166666666667,"Mp","Machine plot",115.923921314333,2024-09-19 15:00:00,2024-09-19,10,16.7,289.85,2280,0.38465,4.87396419761609e-09,0.404657199700997,300.958187960175
28,76.76750531,1,182.42395513,2024-09-19 10:00:00,1.16666666666667,"Mp","Machine plot",105.65644982,2024-09-19 15:00:00,2024-09-19,10,16.7,289.85,2280,0.38465,4.44227341372922e-09,0.368816398114922,1040.36424366695
28,76.76750531,8,191.58438361,2024-09-19 11:00:00,1.16666666666667,"Mp","Machine plot",114.8168783,2024-09-19 16:00:00,2024-09-19,11,18.7,291.85,2280,0.38465,4.7943376106805e-09,0.398046262405466,522.128164553633
28,76.76750531,12,174.41864757,2024-09-19 11:00:00,1.16666666666667,"Mp","Machine plot",97.65114226,2024-09-19 16:00:00,2024-09-19,11,18.7,291.85,2280,0.38465,4.07755855232157e-09,0.338536221953854,317.032664045947
28,76.76750531,18,137.90935091,2024-09-19 12:00:00,1.16666666666667,"Mp","Machine plot",61.1418456,2024-09-19 17:00:00,2024-09-19,12,19.8,292.95,2280,0.38465,2.54347584542478e-09,0.211170162805079,356.382650585722
30,44.5233549126667,1,98.454139622,2024-09-19 13:00:00,1.25,"Mp","Machine plot",53.9307847093333,2024-09-19 18:00:00,2024-09-19,13,20.5,293.65,2280,0.38465,2.23815062263329e-09,0.185820766575759,1073.64247354839
30,44.5233549126667,8,74.845981562,2024-09-19 13:00:00,1.25,"Mp","Machine plot",30.3226266493333,2024-09-19 18:00:00,2024-09-19,13,20.5,293.65,2280,0.38465,1.25840196987412e-09,0.104477873981213,552.279612736834
30,44.5233549126667,12,77.670627799,2024-09-19 14:00:00,1.25,"Mp","Machine plot",33.1472728863333,2024-09-19 19:00:00,2024-09-19,14,21,294.15,2280,0.38465,1.37328768935939e-09,0.114016174150772,344.185807812224
30,44.5233549126667,18,76.465446104,2024-09-19 15:00:00,1.25,"Mp","Machine plot",31.9420911913333,2024-09-19 20:00:00,2024-09-19,15,21.1,294.25,2280,0.38465,1.32290741180573e-09,0.109833389622935,375.642863731403
33,35.8358431336667,1,55.681749847,2024-09-19 15:00:00,1.375,"Mp","Machine plot",19.8459067133333,2024-09-19 20:00:00,2024-09-19,15,21.1,294.25,2280,0.38465,8.21934197351402e-10,0.0682404665182777,1096.50798452685
33,35.8358431336667,8,38.745213987,2024-09-19 16:00:00,1.375,"Mp","Machine plot",2.90937085333334,2024-09-19 21:00:00,2024-09-19,16,20.5,293.65,2280,0.38465,1.20740134265694e-10,0.0100243585390667,562.584813663659
33,35.8358431336667,12,55.934260619,2024-09-19 17:00:00,1.375,"Mp","Machine plot",20.0984174853333,2024-09-19 22:00:00,2024-09-19,17,18.9,292.05,2280,0.38465,8.38662508071728e-10,0.0696293218929491,360.713902456159
33,35.8358431336667,18,65.813756971,2024-09-19 17:00:00,1.375,"Mp","Machine plot",29.9779138373333,2024-09-19 22:00:00,2024-09-19,17,18.9,292.05,2280,0.38465,1.25091203941419e-09,0.103856028156545,394.874911331556
