;project;exp;field;plot.number;treatment;replicate.nu;numbering;start.date;end.date;shift.length;measuring.tech;details;detection.limit;bg.value;bg.unit;Type;NH3.value;NH3.unit;man.pH;air.temp;air.height;soil.tempA;soil.depth;soil.surface;soil.globa.rad;WS;WS.height;MO.lenght;Fric.vel;rough;air.val;air.uni;air.rain;rel.hum;WS.loc;elapsed.time;cum.emis;cum.emis.g.m2;TAN;cum.emis.TAN
1;NA;Fall24;Foulumgård;1;Machine plot DFC;1;48;23/09/2024 11:39;23/09/2024 14:11;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.078476913;kg N/ha-hr;NA;17.5;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;8.270860738;0.827086074;8.75;9.452412272
2;NA;Fall24;Foulumgård;10;Low acid DFC;2;49;23/09/2024 12:51;23/09/2024 15:23;NA;Dynamic chamber;NA;NA;0.044162378;ppm;Emission rate;0.095616762;kg N/ha-hr;NA;18.4;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;5.961408091;0.596140809;8.13;7.332605278
3;NA;Fall24;Foulumgård;11;Medium acid DFC;2;48;23/09/2024 12:59;23/09/2024 15:31;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.029552629;kg N/ha-hr;NA;18.3;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;4.057106124;0.405710612;8.84;4.589486566
4;NA;Fall24;Foulumgård;12;Machine plot DFC;3;48;23/09/2024 13:07;23/09/2024 15:39;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.056836059;kg N/ha-hr;NA;18.3;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;9.419531427;0.941953143;8.75;10.76517877
5;NA;Fall24;Foulumgård;13;High acid DFC;2;48;23/09/2024 13:15;23/09/2024 15:47;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.034587042;kg N/ha-hr;NA;18.3;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;5.718843294;0.571884329;8.63;6.626701383
6;NA;Fall24;Foulumgård;14;No acid DFC;3;48;23/09/2024 13:23;23/09/2024 15:55;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.03442472;kg N/ha-hr;NA;18.3;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;5.562489601;0.55624896;8.28;6.71798261
7;NA;Fall24;Foulumgård;15;Low acid DFC;3;48;23/09/2024 13:31;23/09/2024 16:03;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.031716617;kg N/ha-hr;NA;18.3;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;5.777792378;0.577779238;8.13;7.106755692
8;NA;Fall24;Foulumgård;17;Medium acid DFC;3;48;23/09/2024 13:47;23/09/2024 16:19;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.051912312;kg N/ha-hr;NA;18.3;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;6.544118132;0.654411813;8.84;7.402848565
9;NA;Fall24;Foulumgård;18;Machine plot DFC;4;48;23/09/2024 13:55;23/09/2024 16:27;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.044861658;kg N/ha-hr;NA;18.1;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;10.89241476;1.089241476;8.75;12.44847402
10;NA;Fall24;Foulumgård;19;High acid DFC;3;48;23/09/2024 14:03;23/09/2024 16:35;NA;Dynamic chamber;NA;NA;0.063379792;ppm;Emission rate;0.045790436;kg N/ha-hr;NA;18.1;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0;NA;NA;119;5.039062899;0.50390629;8.63;5.839006835
