"treatment","elapsed.time","application","NH3.value_avg","sd_flux"
"High acid DFC",0,"Manual Application",-0.0248475507163632,0.0239749626789676
"High acid DFC",3,"Manual Application",0.015576350349008,0.0215875126192233
"High acid DFC",5,"Manual Application",0.00949236252192556,0.0192816242126643
"High acid DFC",8,"Manual Application",-0.0105922384843189,0.0213798489581625
"High acid DFC",10,"Manual Application",-0.0119190463799701,0.0210249200752285
"High acid DFC",13,"Manual Application",0.00426247952818147,0.0210350577697706
"High acid DFC",15,"Manual Application",0.00898661516621503,0.022861568952749
"High acid DFC",18,"Manual Application",0.0311052170019529,0.0470632448616729
"High acid DFC",20,"Manual Application",0.0626335176787559,0.0651326254352136
"High acid DFC",23,"Manual Application",0.0686077178793501,0.0710424926810539
"High acid DFC",25,"Manual Application",0.0549573871683796,0.0599977839160576
"High acid DFC",28,"Manual Application",0.0318374395406203,0.0332995632104034
"High acid DFC",30,"Manual Application",0.0137596076518011,0.0280801452082904
"High acid DFC",33,"Manual Application",0.0110850969074259,0.0275420720760347
"High acid DFC",35,"Manual Application",0.00980880087571777,0.0271165801853152
"High acid DFC",38,"Manual Application",0.0118147893937372,0.0289598529925313
"High acid DFC",41,"Manual Application",0.0171673174864491,0.033892445725886
"High acid DFC",43,"Manual Application",0.022962623734927,0.0419373570328266
"High acid DFC",46,"Manual Application",0.050847383285727,0.0523364497230303
"High acid DFC",48,"Manual Application",0.064504498093099,0.0515191978369871
"High acid DFC",51,"Manual Application",0.039259765156684,0.0384249512400384
"High acid DFC",53,"Manual Application",0.0200631598135519,0.0306140854182029
"High acid DFC",56,"Manual Application",0.0146629297889442,0.0322521989867067
"High acid DFC",58,"Manual Application",0.0139694946370385,0.0308426957982218
"High acid DFC",61,"Manual Application",0.0127424603021892,0.0300663949179091
"High acid DFC",63,"Manual Application",0.0126766892306273,0.0305602700046674
"High acid DFC",66,"Manual Application",0.0237999072405501,0.0461311555654451
"High acid DFC",68,"Manual Application",0.0526842267467481,0.0615139224217519
"High acid DFC",71,"Manual Application",0.0679424260748532,0.06380841448946
"High acid DFC",73,"Manual Application",0.053722069637667,0.0489336944418222
"High acid DFC",76,"Manual Application",0.0256287980431987,0.0302671043149713
"High acid DFC",78,"Manual Application",0.00991245666033007,0.0284354584737807
"High acid DFC",81,"Manual Application",0.00836921412537317,0.0268234009838312
"High acid DFC",84,"Manual Application",0.0084798505249851,0.0265570332843653
"High acid DFC",86,"Manual Application",0.00888558006715307,0.0254234179134999
"High acid DFC",89,"Manual Application",0.0157335702427333,0.0382459199035424
"High acid DFC",91,"Manual Application",0.0445672698277179,0.0387359050455131
"High acid DFC",94,"Manual Application",0.0684446511287051,0.0386825247265492
"High acid DFC",96,"Manual Application",0.0621359528344763,0.0450928911200024
"High acid DFC",99,"Manual Application",0.0361628015558588,0.0334266862913359
"High acid DFC",101,"Manual Application",0.0168651098577657,0.0268483835292293
"High acid DFC",104,"Manual Application",0.0070234677944664,0.0269337125340873
"High acid DFC",106,"Manual Application",0.00397611432576147,0.0256160627454962
"High acid DFC",109,"Manual Application",0.00610945311514963,0.0237001880941546
"High acid DFC",111,"Manual Application",0.0104787797485681,0.0269048326606005
"High acid DFC",114,"Manual Application",0.0187561285872344,0.0338093796989324
"High acid DFC",116,"Manual Application",0.0319993053777702,0.0375743401944744
"High acid DFC",119,"Manual Application",0.0485695568648938,0.00683113624371321
"Low acid DFC",0,"Manual Application",0.13581824662186,0.0601166642044742
"Low acid DFC",3,"Manual Application",0.0584218186997105,0.0047410275529234
"Low acid DFC",5,"Manual Application",0.0337379192095744,0.00852752473771254
"Low acid DFC",8,"Manual Application",0.00127496158290479,0.0109685127745324
"Low acid DFC",10,"Manual Application",-0.0038853194556091,0.0133999167802737
"Low acid DFC",13,"Manual Application",0.0117486209110364,0.0138726943830541
"Low acid DFC",15,"Manual Application",0.0152981749131522,0.0145965850419294
