"Time","adjusted_concentration_pentanoic_acid","adjusted_concentration_isoprene","adjusted_concentration_butandione","adjusted_concentration_acetaldehyde","adjusted_concentration_butanone","adjusted_concentration_acetic_acid","adjusted_concentration_H2S","adjusted_concentration_acetone","adjusted_concentration_methylphenol","adjusted_concentration_trimethylamine","adjusted_concentration_ethylphenol","adjusted_concentration_butanoic_acid","adjusted_concentration_formic_acid","adjusted_concentration_methanol","adjusted_concentration_phenol","adjusted_concentration_propanoic_acid","adjusted_concentration_methanthiol","adjusted_concentration_dimethyl_sulfide","adjusted_concentration_methyl_indole","hours"
2024-09-18 12:30:00,3.037050124,0.294263026,0.42887028,6.66273173,2.852140112,20.45407933,2.882688135,0.838911400000001,4.705570293,0.0194131180000001,0.933438898,6.83305176,0,2.06016711,1.59692603,5.630283737,0.016575177,0.09121231,0.200504762,0
2024-09-18 13:00:00,6.501390564,0.434136485,0.776929036,8.13118152,1.600521491,51.23873238,0.074230558,0,5.743401039,0.0388601070000001,1.281865054,15.428345609,0.648743455,1.45740905,1.9333543,13.167489128,0.011757336,0.166237889,0.216139345,0.5
2024-09-18 13:30:00,7.049201966,0.372742179,0.634416484,7.63054646,1.008910491,56.88723903,0.183677131,0,4.122514558,0.0625290889999999,0.926146048,16.118030049,0.113905521,1.36664253,1.460631016,13.782695227,0.021330434,0.132685834,0.138931269,1
2024-09-18 14:00:00,7.849273722,0.463716731,0.477685731,6.58472619,0.787907029,63.26928782,0,0,4.985662892,0.0974077310000001,1.11788389,17.894269266,0,0.359459100000002,1.817715898,15.527545334,0.036838198,0.201967474,0.110576814,1.5
2024-09-18 14:30:00,7.673467267,0.473590805,0.434020918,5.28928263,0.294069652,59.69560785,0,0,4.747756904,0.103537515,1.014793589,17.053263629,0,0,1.843361921,14.678010892,0,0.184431557,0.132217322,2
2024-09-18 15:00:00,7.881590684,0.366320353,0.382830512,4.79810247,0.177850935,60.50826122,0,0,4.382953687,0.0712688400000001,1.0986507,17.359165616,0,0,1.738809284,14.914207547,0.00723492099999998,0.212953431,0.119698119,2.5
2024-09-18 15:30:00,7.711026383,0.344854558,0.184969566,2.16360799,0,55.35249237,0,0,3.949962405,0.124831626,0.820365852,16.978057304,0,0,1.582226995,14.668864629,0,0.133866174,0.075691227,3
2024-09-18 16:00:00,5.834649471,0.159966002,0.199049673,1.66073505,0,40.86425136,0,0,2.641927527,0,0.675224986,13.074009202,0,0,1.093994648,10.775645846,0,0.108447325,0,3.5
2024-09-18 16:30:00,7.174074027,0.164964291,0.335810659,2.69279177,0.0547116180000002,52.43000195,0,0,3.036036636,0,0.77234416,15.767162524,0,0,1.266299883,13.653524323,0,0.127079374,0.125564343,4
2024-09-18 17:00:00,5.233991842,0.080063497,0.422607859,2.57963268,0,37.90222165,0.357923132,0,2.147558017,0.019834898,0.616492028,11.672845056,0.119781744,0,1.008400212,9.803625949,0,0.135051053,0.0811543,4.5
2024-09-18 17:30:00,3.939933441,0.197380681,0.312435431,2.02783262,0,27.53194018,0,0,1.607324107,0.0679357119999999,0.467678094,8.617789805,0,0,0.710237271,7.319408773,0,0.144798172,0.036343342,5
2024-09-18 18:00:00,3.727657757,0.173330869,0.158966513,1.54108805,0,25.44083856,0.0691726959999999,0,1.632307236,0,0.392181821,8.052905436,0,0,0.646903463,6.652268009,0,0.102492288,0.0294897599999999,5.5
2024-09-18 18:30:00,3.731915082,0.0723581189999999,0.227916438,1.72465763,0.0268377339999999,23.41358727,0.426368466,0,1.498358541,0.027306925,0.426105685,7.557019156,0,0,0.705185909,6.333403669,0.006460041,0.090338871,0.123622167,6
2024-09-18 19:00:00,2.509037647,0.098938634,0.253834346,1.63089689,0.0550198110000002,14.71541736,0,0,1.243783053,0.0273585949999999,0.303855983,5.075291083,0,0,0.504447008,4.230155248,0.00723053599999998,0.030331846,0,6.5
2024-09-18 19:30:00,1.86561752,0,0.225889714,0.444210269999999,0,9.16377265,1.350078955,0,1.161111168,0.00184986799999998,0.29935106,3.66018585,0,0,0.4924424,3.042154316,0,0,0,7
2024-09-18 20:00:00,1.424512061,0.055439529,0.214709729,0.85895395,0.0666333300000002,6.722868731,0.0236890990000003,0,1.033479598,0,0.323537686,2.647018737,0.02073692,0,0.468088194,2.077770082,0.023199724,0.0875557340000001,0.0360433109999999,7.5
2024-09-18 20:30:00,1.022942315,0.016733813,0.366553396,0.52990679,0.331824677,5.499350541,0.550209245,0,0.894660278,0,0.243050379,1.934841429,0.109689636,0.208464880000001,0.428449724,1.385028176,0.012198346,0.187222194,0.017950902,8
2024-09-18 21:00:00,0.80105102,0,0.172973293,0,0.082512302,3.982101522,0.195743418,0,0.906050869,0.0136548449999999,0.130532137,1.222146513,0.144594733,0,0.411172927,0.811352856,0,0.080771845,0,8.5
2024-09-18 21:30:00,0.466738773,0,0.058226965,0,0.43227295,3.302590375,0.617209077,0.220212119999999,0.830471276,0.029839917,0.239552161,0.729687405,0.472921554,0,0.317406865,0.393466767,0,0.028387272,0,9
2024-09-18 22:00:00,0.25896618,0.03529368,0.154359981,0,0.828741979,2.848277119,1.030557269,0.388157079999999,0.434536937,0.0563241569999999,0.109329915,0.486676438,0.45000014,0,0.220170037,0.376626358,0,0.050539058,0,9.5
2024-09-18 22:30:00,0.388928953,0,0.354907376,0.24144899,1.683017246,3.378748975,0.105202329,4.75822289,0.519734806,0.143840629,0.152928274,0.674641014,0.830428116,0,0.335676697,0.595736461,0,0.0804424340000001,0,10
2024-09-18 23:00:00,0.325847388,0,0.294176038,0.123378349999999,0.840537854,2.732404458,0.115666211000001,4.56470391,0.502520742,0.128653108,0.147651584,0.620317893,0.356048505,0,0.265191659,0.53300312,0,0.018968628,0,10.5
2024-09-18 23:30:00,0.283014709,0,0.180590163,0.457815480000001,0.998747329,3.068894634,0.677130582,1.13870787,0.516848735,0.0904266939999999,0.066576282,0.620026769,0.510784859,0.263917300000003,0.233583699,0.488596844,0,0,0,11
2024-09-19,0.171087189,0,0.074981098,0.11432772,0.377127745,1.747123101,0.275839458999999,0.153962959999999,0.353632192,0.059886112,0.086585563,0.384288042,0.155731644,0,0.144171175,0.300824345,0,0.0479427330000001,0.030168564,11.5
2024-09-19 00:30:00,0.253773269,0,0.303304759,0.354300220000001,1.010883687,1.687700515,0,2.56575395,0.647851236,0.130825575,0.156303021,0.388829608,0.16215608,0,0.316741481,0.173354792,0,0.00929516199999991,0,12
2024-09-19 01:00:00,0.37559528,0,0.603298401,2.2609111,2.951440848,2.822466608,0.243842491,12.361524181,1.099358552,0.296961888,0.293271471,0.870368714,0.137251645,1.97851296,0.589758265,0.654819935,0,0.131786844,0,12.5
2024-09-19 01:30:00,0.321486158,0,0.308655766,0.88321446,1.30667113,1.731592836,0.628303636,4.433314078,0.654360332,0.12129498,0.116404481,0.522722379,0.138173742,0.424710330000003,0.324191831,0.50046874,0,0.057560292,0,13
